,Student_Id,Sem,subject code,subject,subject_short,grade,credits
849,21pa1a6121,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,O,3
850,21pa1a6121,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,O,3
851,21pa1a6121,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,A,3
852,21pa1a6121,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
853,21pa1a6121,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,A,3
854,21pa1a6121,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,O,1.5
855,21pa1a6121,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,O,3
856,21pa1a6121,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
857,21pa1a6121,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,O,1.5
858,21pa1a6121,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.38
859,21pa1a6121,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,A,3
860,21pa1a6121,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,O,3
861,21pa1a6121,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,O,3
862,21pa1a6121,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
863,21pa1a6121,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
864,21pa1a6121,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,O,3
865,21pa1a6121,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
866,21pa1a6121,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,O,3
867,21pa1a6121,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,O,1.5
868,21pa1a6121,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,O,2
869,21pa1a6121,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.72
870,21pa1a6121,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,A,3
871,21pa1a6121,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,S,3
872,21pa1a6121,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,S,3
873,21pa1a6121,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,A,3
874,21pa1a6121,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,O,1.5
875,21pa1a6121,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,O,1.5
876,21pa1a6121,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,O,1.5
877,21pa1a6121,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
878,21pa1a6121,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,O,2
879,21pa1a6121,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,O,4
880,21pa1a6121,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,S,3
881,21pa1a6121,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.18
882,21pa1a6122,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,A,3
883,21pa1a6122,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,A,3
884,21pa1a6122,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,A,3
885,21pa1a6122,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,B,3
886,21pa1a6122,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,A,3
887,21pa1a6122,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
888,21pa1a6122,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,A,1.5
889,21pa1a6122,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
890,21pa1a6122,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.15
