,Student_Id,Sem,subject code,subject,subject_short,grade,credits
84,21PA1A0103,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,A,3
85,21PA1A0103,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,S,3
86,21PA1A0103,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,A,3
87,21PA1A0103,I B.Tech - I Semester,  20BS1T03,  ENGINEERING PHYSICS, EP,C,3
88,21PA1A0103,I B.Tech - I Semester,  20ME1T01,  ENGINEERING GRAPHICS, EG,S,3
89,21PA1A0103,I B.Tech - I Semester,  20BS1P02,  ENGINEERING PHYSICS LAB, EP Lab,O,1.5
90,21PA1A0103,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
91,21PA1A0103,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
92,21PA1A0103,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.46
93,21PA1A0103,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,O,3
94,21PA1A0103,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,S,3
95,21PA1A0103,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,B,3
96,21PA1A0103,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,S,1.5
97,21PA1A0103,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
98,21PA1A0103,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,C,3
99,21PA1A0103,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,O,1.5
100,21PA1A0103,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,O,1.5
101,21PA1A0103,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,O,3
102,21PA1A0103,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.69
103,21PA1A0103,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,A,3
104,21PA1A0103,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,O,3
105,21PA1A0103,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
106,21PA1A0103,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),S,3
107,21PA1A0103,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,O,1.5
108,21PA1A0103,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,O,3
109,21PA1A0103,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,O,1.5
110,21PA1A0103,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,O,1.5
111,21PA1A0103,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,O,2
112,21PA1A0103,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,S,3
113,21PA1A0103,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.44
114,21PA1A0103,II B.Tech - II Semester,  20BS4T01,"  Mathematics-IV (Numerical Methods, Probability & Statistics)", M-IV,S,3
115,21PA1A0103,II B.Tech - II Semester,  20CE4T01,  Strength of Materials -II, SOM-II,S,3
116,21PA1A0103,II B.Tech - II Semester,  20CE4T02,  Hydraulics and Hydraulic Machinery, HHM,O,3
117,21PA1A0103,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
118,21PA1A0103,II B.Tech - II Semester,  20CE4T03,  Environmental Engineering, EE,O,3
119,21PA1A0103,II B.Tech - II Semester,  20CE4P03,  Fluid Mechanics & Hydraulics Machinery Lab, FM & HM Lab,O,1.5
120,21PA1A0103,II B.Tech - II Semester,  20CE4P01,  Environmental Engineering Lab, EE Lab,O,1.5
121,21PA1A0103,II B.Tech - II Semester,  20CE4P04,  Advanced Construction Planning, ACP,O,2
122,21PA1A0103,II B.Tech - II Semester,  20CE4P02,  Strength of Materials Lab, SOM Lab,O,1.5
123,21PA1A0103,II B.Tech - II Semester,  20CE4J01,  Community Service Project, CSP,O,4
124,21PA1A0103,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,O,3
125,21PA1A0103,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.76
126,21PA1A0104,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,C,3
127,21PA1A0104,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,D,3
128,21PA1A0104,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,D,3
129,21PA1A0104,I B.Tech - I Semester,  20BS1T03,  ENGINEERING PHYSICS, EP,F,0
130,21PA1A0104,I B.Tech - I Semester,  20ME1T01,  ENGINEERING GRAPHICS, EG,D,3
131,21PA1A0104,I B.Tech - I Semester,  20BS1P02,  ENGINEERING PHYSICS LAB, EP Lab,A,1.5
132,21PA1A0104,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,A,1.5
133,21PA1A0104,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,A,1.5
134,21PA1A0104,I B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 6
135,21PA1A0104,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,F,0
136,21PA1A0104,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,F,0
137,21PA1A0104,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,C,3
138,21PA1A0104,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,D,1.5
139,21PA1A0104,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
140,21PA1A0104,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,F,0
141,21PA1A0104,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,A,1.5
142,21PA1A0104,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,S,1.5
143,21PA1A0104,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,S,3
144,21PA1A0104,I B.Tech - II Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 7.43
145,21PA1A0104,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,F,0
146,21PA1A0104,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,F,0
147,21PA1A0104,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,F,0
148,21PA1A0104,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),F,0
149,21PA1A0104,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,F,0
150,21PA1A0104,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,F,0
151,21PA1A0104,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,F,0
152,21PA1A0104,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,F,0
153,21PA1A0104,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,F,0
154,21PA1A0104,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,F,0
